disease_id,name,type,description,symptoms,causes,treatments,related_bacteria,related_virus
473,Cholera,Parasitic,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Bacillus anthracis,Varicella-zoster
474,Measles,Genetic,"A highly contagious viral disease causing fever, cough, and a characteristic rash.","Fever, cough, runny nose, inflamed eyes, red rash","Infection with measles virus, spread by respiratory droplets.","Supportive care, vitamin A supplementation",Neisseria meningitidis,HPV
475,Ebola,Viral,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Listeria monocytogenes,Rubella
476,Hepatitis B,Parasitic,A viral infection that attacks the liver and can cause both acute and chronic disease.,"Jaundice, fatigue, abdominal pain, loss of appetite, nausea","Infection with hepatitis B virus, transmitted through blood, sexual contact, or from mother to child.","Antiviral medications (tenofovir, entecavir), supportive care",Mycobacterium tuberculosis,Marburg
477,Hypertension,Bacterial,A chronic condition characterized by elevated blood pressure levels.,"Often asymptomatic, but may cause headaches, shortness of breath, nosebleeds","Combination of genetic, environmental, and lifestyle factors, including high salt intake, obesity, and stress.","Lifestyle modification, antihypertensive medications",Pseudomonas aeruginosa,Epstein-Barr
478,Measles,Bacterial,"A highly contagious viral disease causing fever, cough, and a characteristic rash.","Fever, cough, runny nose, inflamed eyes, red rash","Infection with measles virus, spread by respiratory droplets.","Supportive care, vitamin A supplementation",Salmonella enterica,Hepatitis B
479,Ebola,Viral,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Escherichia coli,Zika
480,Rabies,Bacterial,A deadly viral infection that is transmitted to humans through the bite of infected animals.,"Fever, headache, excess salivation, muscle spasms, paralysis, mental confusion","Bite or scratch from an infected animal, usually a dog or bat.","Post-exposure prophylaxis (PEP), rabies immunoglobulin, supportive care",Escherichia coli,Mumps
481,Cholera,Viral,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Treponema pallidum,HPV
482,Asthma,Viral,"A chronic inflammatory disease of the airways that causes periodic attacks of wheezing, shortness of breath, and coughing.","Shortness of breath, wheezing, coughing, chest tightness","Chronic inflammation of the airways, triggered by allergens, pollution, respiratory infections, or exercise.","Inhaled corticosteroids, bronchodilators, avoiding triggers",Borrelia burgdorferi,Marburg
483,Cholera,Genetic,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Proteus mirabilis,Cytomegalovirus
484,Diabetes Mellitus,Parasitic,A group of metabolic diseases characterized by high blood sugar levels over a prolonged period.,"Increased thirst, frequent urination, hunger, fatigue, blurred vision","Insufficient insulin production or insulin resistance, influenced by genetics, lifestyle, and obesity.","Insulin therapy, oral hypoglycemic agents, diet, exercise",Salmonella enterica,HIV
485,Dengue,Viral,"A mosquito-borne viral infection causing high fever, rash, and muscle and joint pain.","High fever, headache, pain behind the eyes, joint and muscle pain, rash","Infection with dengue virus, transmitted by Aedes mosquitoes.","Supportive care, fluid replacement, pain relievers (acetaminophen)",Escherichia coli,Epstein-Barr
486,Malaria,Genetic,"A mosquito-borne infectious disease caused by Plasmodium parasites, leading to fever, chills, and flu-like illness.","Fever, chills, headache, nausea, vomiting, muscle pain","Infection by Plasmodium parasites, transmitted by the bite of infected Anopheles mosquitoes.","Antimalarial drugs (artemisinin-based combination therapies, chloroquine)",Bacillus anthracis,Rabies
487,Hypertension,Viral,A chronic condition characterized by elevated blood pressure levels.,"Often asymptomatic, but may cause headaches, shortness of breath, nosebleeds","Combination of genetic, environmental, and lifestyle factors, including high salt intake, obesity, and stress.","Lifestyle modification, antihypertensive medications",Escherichia coli,Influenza
488,Polio,Bacterial,A viral disease that can affect nerves and can lead to partial or full paralysis.,"Fever, sore throat, headache, vomiting, back pain, neck stiffness, paralysis","Infection with poliovirus, spread by fecal-oral route.","Supportive care, physical therapy, ventilatory support if needed",Salmonella enterica,Epstein-Barr
489,Chickenpox,Metabolic,"A highly contagious viral infection causing an itchy, blister-like rash.","Itchy, blister-like rash, fever, tiredness, loss of appetite","Infection with varicella-zoster virus, spread by respiratory droplets or contact with lesions.","Antihistamines, calamine lotion, antiviral drugs (acyclovir) in severe cases",Neisseria meningitidis,Marburg
490,Cholera,Genetic,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Borrelia burgdorferi,Herpes simplex
491,Meningitis,Bacterial,"An inflammation of the membranes (meninges) surrounding the brain and spinal cord, caused by infection.","Sudden high fever, stiff neck, headache, nausea, sensitivity to light","Infection of the meninges by bacteria, viruses, fungi, or parasites.","Antibiotics (if bacterial), antiviral or antifungal medications, corticosteroids",Neisseria meningitidis,Polio
492,Asthma,Bacterial,"A chronic inflammatory disease of the airways that causes periodic attacks of wheezing, shortness of breath, and coughing.","Shortness of breath, wheezing, coughing, chest tightness","Chronic inflammation of the airways, triggered by allergens, pollution, respiratory infections, or exercise.","Inhaled corticosteroids, bronchodilators, avoiding triggers",Salmonella enterica,Norovirus
493,Cholera,Parasitic,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Yersinia pestis,SARS-CoV-2
494,Rabies,Viral,A deadly viral infection that is transmitted to humans through the bite of infected animals.,"Fever, headache, excess salivation, muscle spasms, paralysis, mental confusion","Bite or scratch from an infected animal, usually a dog or bat.","Post-exposure prophylaxis (PEP), rabies immunoglobulin, supportive care",Escherichia coli,Rotavirus
495,Hepatitis B,Bacterial,A viral infection that attacks the liver and can cause both acute and chronic disease.,"Jaundice, fatigue, abdominal pain, loss of appetite, nausea","Infection with hepatitis B virus, transmitted through blood, sexual contact, or from mother to child.","Antiviral medications (tenofovir, entecavir), supportive care",Clostridium tetani,Polio
496,Measles,Viral,"A highly contagious viral disease causing fever, cough, and a characteristic rash.","Fever, cough, runny nose, inflamed eyes, red rash","Infection with measles virus, spread by respiratory droplets.","Supportive care, vitamin A supplementation",Vibrio cholerae,Influenza
497,Dengue,Parasitic,"A mosquito-borne viral infection causing high fever, rash, and muscle and joint pain.","High fever, headache, pain behind the eyes, joint and muscle pain, rash","Infection with dengue virus, transmitted by Aedes mosquitoes.","Supportive care, fluid replacement, pain relievers (acetaminophen)",Clostridium tetani,Polio
498,Zika,Viral,"A disease caused by Zika virus, spread mainly by mosquitoes, associated with birth defects when contracted during pregnancy.","Fever, rash, joint pain, red eyes, muscle pain","Infection with Zika virus, transmitted by Aedes mosquitoes or sexual contact.","Supportive care, rest, fluids, pain relievers",Proteus mirabilis,Rotavirus
499,Leprosy,Genetic,"A chronic infectious disease caused by Mycobacterium leprae, affecting the skin, nerves, and mucous membranes.","Skin lesions, numbness, muscle weakness, eye problems","Chronic infection with Mycobacterium leprae, spread via respiratory droplets.","Multidrug therapy (dapsone, rifampicin, clofazimine)",Escherichia coli,Epstein-Barr
500,Malaria,Bacterial,"A mosquito-borne infectious disease caused by Plasmodium parasites, leading to fever, chills, and flu-like illness.","Fever, chills, headache, nausea, vomiting, muscle pain","Infection by Plasmodium parasites, transmitted by the bite of infected Anopheles mosquitoes.","Antimalarial drugs (artemisinin-based combination therapies, chloroquine)",Shigella dysenteriae,Epstein-Barr
501,Chickenpox,Metabolic,"A highly contagious viral infection causing an itchy, blister-like rash.","Itchy, blister-like rash, fever, tiredness, loss of appetite","Infection with varicella-zoster virus, spread by respiratory droplets or contact with lesions.","Antihistamines, calamine lotion, antiviral drugs (acyclovir) in severe cases",Pseudomonas aeruginosa,Polio
502,Chickenpox,Bacterial,"A highly contagious viral infection causing an itchy, blister-like rash.","Itchy, blister-like rash, fever, tiredness, loss of appetite","Infection with varicella-zoster virus, spread by respiratory droplets or contact with lesions.","Antihistamines, calamine lotion, antiviral drugs (acyclovir) in severe cases",Yersinia pestis,Dengue
503,Pneumonia,Viral,"An infection that inflames the air sacs in one or both lungs, which may fill with fluid.","Cough with phlegm, fever, chills, difficulty breathing","Infection of the lungs by bacteria, viruses, or fungi, often following a cold or flu.","Antibiotics (if bacterial), antiviral or antifungal medications, supportive care",Salmonella enterica,Epstein-Barr
504,Leprosy,Bacterial,"A chronic infectious disease caused by Mycobacterium leprae, affecting the skin, nerves, and mucous membranes.","Skin lesions, numbness, muscle weakness, eye problems","Chronic infection with Mycobacterium leprae, spread via respiratory droplets.","Multidrug therapy (dapsone, rifampicin, clofazimine)",Salmonella enterica,Varicella-zoster
505,Influenza,Metabolic,A disease affecting humans. Further research may be required for specific details about Influenza.,"already, off, section, produce","Varies: may include infections, genetics, environment, or lifestyle factors. Further research may be required for specific details about Influenza.","Supportive care, consult a healthcare professional",Clostridium tetani,Rubella
506,Malaria,Parasitic,"A mosquito-borne infectious disease caused by Plasmodium parasites, leading to fever, chills, and flu-like illness.","Fever, chills, headache, nausea, vomiting, muscle pain","Infection by Plasmodium parasites, transmitted by the bite of infected Anopheles mosquitoes.","Antimalarial drugs (artemisinin-based combination therapies, chloroquine)",Escherichia coli,Measles
507,Cholera,Genetic,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Yersinia pestis,Rabies
508,Meningitis,Parasitic,"An inflammation of the membranes (meninges) surrounding the brain and spinal cord, caused by infection.","Sudden high fever, stiff neck, headache, nausea, sensitivity to light","Infection of the meninges by bacteria, viruses, fungi, or parasites.","Antibiotics (if bacterial), antiviral or antifungal medications, corticosteroids",Shigella dysenteriae,Rotavirus
509,Cholera,Viral,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Streptococcus pneumoniae,Measles
510,Pneumonia,Metabolic,"An infection that inflames the air sacs in one or both lungs, which may fill with fluid.","Cough with phlegm, fever, chills, difficulty breathing","Infection of the lungs by bacteria, viruses, or fungi, often following a cold or flu.","Antibiotics (if bacterial), antiviral or antifungal medications, supportive care",Clostridium tetani,SARS-CoV-2
511,Dengue,Genetic,"A mosquito-borne viral infection causing high fever, rash, and muscle and joint pain.","High fever, headache, pain behind the eyes, joint and muscle pain, rash","Infection with dengue virus, transmitted by Aedes mosquitoes.","Supportive care, fluid replacement, pain relievers (acetaminophen)",Escherichia coli,Measles
512,Pneumonia,Genetic,"An infection that inflames the air sacs in one or both lungs, which may fill with fluid.","Cough with phlegm, fever, chills, difficulty breathing","Infection of the lungs by bacteria, viruses, or fungi, often following a cold or flu.","Antibiotics (if bacterial), antiviral or antifungal medications, supportive care",Helicobacter pylori,Hepatitis B
513,Pneumonia,Viral,"An infection that inflames the air sacs in one or both lungs, which may fill with fluid.","Cough with phlegm, fever, chills, difficulty breathing","Infection of the lungs by bacteria, viruses, or fungi, often following a cold or flu.","Antibiotics (if bacterial), antiviral or antifungal medications, supportive care",Clostridium tetani,Rabies
514,Ebola,Viral,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Treponema pallidum,HIV
515,Hepatitis B,Parasitic,A viral infection that attacks the liver and can cause both acute and chronic disease.,"Jaundice, fatigue, abdominal pain, loss of appetite, nausea","Infection with hepatitis B virus, transmitted through blood, sexual contact, or from mother to child.","Antiviral medications (tenofovir, entecavir), supportive care",Shigella dysenteriae,Influenza
516,Leprosy,Bacterial,"A chronic infectious disease caused by Mycobacterium leprae, affecting the skin, nerves, and mucous membranes.","Skin lesions, numbness, muscle weakness, eye problems","Chronic infection with Mycobacterium leprae, spread via respiratory droplets.","Multidrug therapy (dapsone, rifampicin, clofazimine)",Salmonella enterica,Dengue
517,Ebola,Viral,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Mycobacterium tuberculosis,Measles
518,HIV/AIDS,Viral,A virus that attacks the immune system and can lead to acquired immunodeficiency syndrome (AIDS).,"Fever, fatigue, swollen lymph nodes, weight loss, recurrent infections","Infection with the human immunodeficiency virus (HIV), spread through blood, sexual contact, or from mother to child.",Antiretroviral therapy (ART),Neisseria meningitidis,Mumps
519,COVID-19,Genetic,"A contagious respiratory illness caused by the SARS-CoV-2 virus, leading to symptoms ranging from mild cold-like illness to severe pneumonia.","Fever, cough, shortness of breath, fatigue, loss of taste or smell","Infection with the SARS-CoV-2 coronavirus, primarily spread via respiratory droplets.","Supportive care, oxygen therapy, antiviral medications (e.g., remdesivir)",Proteus mirabilis,Rubella
520,Cholera,Metabolic,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Clostridium tetani,SARS-CoV-2
521,Asthma,Metabolic,"A chronic inflammatory disease of the airways that causes periodic attacks of wheezing, shortness of breath, and coughing.","Shortness of breath, wheezing, coughing, chest tightness","Chronic inflammation of the airways, triggered by allergens, pollution, respiratory infections, or exercise.","Inhaled corticosteroids, bronchodilators, avoiding triggers",Pseudomonas aeruginosa,Varicella-zoster
522,Hepatitis B,Genetic,A viral infection that attacks the liver and can cause both acute and chronic disease.,"Jaundice, fatigue, abdominal pain, loss of appetite, nausea","Infection with hepatitis B virus, transmitted through blood, sexual contact, or from mother to child.","Antiviral medications (tenofovir, entecavir), supportive care",Helicobacter pylori,Mumps
523,Cholera,Bacterial,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Streptococcus pneumoniae,Marburg
524,Meningitis,Viral,"An inflammation of the membranes (meninges) surrounding the brain and spinal cord, caused by infection.","Sudden high fever, stiff neck, headache, nausea, sensitivity to light","Infection of the meninges by bacteria, viruses, fungi, or parasites.","Antibiotics (if bacterial), antiviral or antifungal medications, corticosteroids",Enterococcus faecalis,Epstein-Barr
525,Measles,Genetic,"A highly contagious viral disease causing fever, cough, and a characteristic rash.","Fever, cough, runny nose, inflamed eyes, red rash","Infection with measles virus, spread by respiratory droplets.","Supportive care, vitamin A supplementation",Staphylococcus aureus,SARS-CoV-2
526,Malaria,Genetic,"A mosquito-borne infectious disease caused by Plasmodium parasites, leading to fever, chills, and flu-like illness.","Fever, chills, headache, nausea, vomiting, muscle pain","Infection by Plasmodium parasites, transmitted by the bite of infected Anopheles mosquitoes.","Antimalarial drugs (artemisinin-based combination therapies, chloroquine)",Clostridium tetani,Zika
527,Hepatitis B,Parasitic,A viral infection that attacks the liver and can cause both acute and chronic disease.,"Jaundice, fatigue, abdominal pain, loss of appetite, nausea","Infection with hepatitis B virus, transmitted through blood, sexual contact, or from mother to child.","Antiviral medications (tenofovir, entecavir), supportive care",Helicobacter pylori,Herpes simplex
528,Hypertension,Viral,A chronic condition characterized by elevated blood pressure levels.,"Often asymptomatic, but may cause headaches, shortness of breath, nosebleeds","Combination of genetic, environmental, and lifestyle factors, including high salt intake, obesity, and stress.","Lifestyle modification, antihypertensive medications",Staphylococcus aureus,Varicella-zoster
529,Rabies,Genetic,A deadly viral infection that is transmitted to humans through the bite of infected animals.,"Fever, headache, excess salivation, muscle spasms, paralysis, mental confusion","Bite or scratch from an infected animal, usually a dog or bat.","Post-exposure prophylaxis (PEP), rabies immunoglobulin, supportive care",Proteus mirabilis,Ebola
530,Cholera,Parasitic,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Corynebacterium diphtheriae,Epstein-Barr
531,Influenza,Viral,A disease affecting humans. Further research may be required for specific details about Influenza.,"democratic, deep","Varies: may include infections, genetics, environment, or lifestyle factors. Further research may be required for specific details about Influenza.","Supportive care, consult a healthcare professional",Salmonella enterica,Marburg
532,Dengue,Metabolic,"A mosquito-borne viral infection causing high fever, rash, and muscle and joint pain.","High fever, headache, pain behind the eyes, joint and muscle pain, rash","Infection with dengue virus, transmitted by Aedes mosquitoes.","Supportive care, fluid replacement, pain relievers (acetaminophen)",Staphylococcus aureus,Marburg
533,Leprosy,Metabolic,"A chronic infectious disease caused by Mycobacterium leprae, affecting the skin, nerves, and mucous membranes.","Skin lesions, numbness, muscle weakness, eye problems","Chronic infection with Mycobacterium leprae, spread via respiratory droplets.","Multidrug therapy (dapsone, rifampicin, clofazimine)",Staphylococcus aureus,SARS-CoV-2
534,Influenza,Metabolic,A disease affecting humans. Further research may be required for specific details about Influenza.,"final, movement, realize, customer, your","Varies: may include infections, genetics, environment, or lifestyle factors. Further research may be required for specific details about Influenza.","Supportive care, consult a healthcare professional",Treponema pallidum,Cytomegalovirus
535,Meningitis,Bacterial,"An inflammation of the membranes (meninges) surrounding the brain and spinal cord, caused by infection.","Sudden high fever, stiff neck, headache, nausea, sensitivity to light","Infection of the meninges by bacteria, viruses, fungi, or parasites.","Antibiotics (if bacterial), antiviral or antifungal medications, corticosteroids",Neisseria meningitidis,Varicella-zoster
536,Malaria,Parasitic,"A mosquito-borne infectious disease caused by Plasmodium parasites, leading to fever, chills, and flu-like illness.","Fever, chills, headache, nausea, vomiting, muscle pain","Infection by Plasmodium parasites, transmitted by the bite of infected Anopheles mosquitoes.","Antimalarial drugs (artemisinin-based combination therapies, chloroquine)",Pseudomonas aeruginosa,HPV
537,Pneumonia,Parasitic,"An infection that inflames the air sacs in one or both lungs, which may fill with fluid.","Cough with phlegm, fever, chills, difficulty breathing","Infection of the lungs by bacteria, viruses, or fungi, often following a cold or flu.","Antibiotics (if bacterial), antiviral or antifungal medications, supportive care",Corynebacterium diphtheriae,Rabies
538,Cholera,Parasitic,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Shigella dysenteriae,Varicella-zoster
539,Leprosy,Genetic,"A chronic infectious disease caused by Mycobacterium leprae, affecting the skin, nerves, and mucous membranes.","Skin lesions, numbness, muscle weakness, eye problems","Chronic infection with Mycobacterium leprae, spread via respiratory droplets.","Multidrug therapy (dapsone, rifampicin, clofazimine)",Pseudomonas aeruginosa,Hepatitis B
540,Influenza,Genetic,A disease affecting humans. Further research may be required for specific details about Influenza.,"they, reach, game, bad","Varies: may include infections, genetics, environment, or lifestyle factors. Further research may be required for specific details about Influenza.","Supportive care, consult a healthcare professional",Salmonella enterica,Epstein-Barr
541,Diabetes Mellitus,Bacterial,A group of metabolic diseases characterized by high blood sugar levels over a prolonged period.,"Increased thirst, frequent urination, hunger, fatigue, blurred vision","Insufficient insulin production or insulin resistance, influenced by genetics, lifestyle, and obesity.","Insulin therapy, oral hypoglycemic agents, diet, exercise",Borrelia burgdorferi,Hepatitis B
542,Ebola,Parasitic,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Pseudomonas aeruginosa,Norovirus
543,Cholera,Parasitic,An acute diarrheal illness caused by infection of the intestine with Vibrio cholerae.,"Severe diarrhea, dehydration, vomiting, rapid heart rate",Ingestion of water or food contaminated with Vibrio cholerae bacteria.,"Rehydration therapy, antibiotics in severe cases",Bacillus anthracis,Rotavirus
544,Diabetes Mellitus,Metabolic,A group of metabolic diseases characterized by high blood sugar levels over a prolonged period.,"Increased thirst, frequent urination, hunger, fatigue, blurred vision","Insufficient insulin production or insulin resistance, influenced by genetics, lifestyle, and obesity.","Insulin therapy, oral hypoglycemic agents, diet, exercise",Staphylococcus aureus,Polio
545,Chickenpox,Genetic,"A highly contagious viral infection causing an itchy, blister-like rash.","Itchy, blister-like rash, fever, tiredness, loss of appetite","Infection with varicella-zoster virus, spread by respiratory droplets or contact with lesions.","Antihistamines, calamine lotion, antiviral drugs (acyclovir) in severe cases",Enterococcus faecalis,Epstein-Barr
546,Measles,Genetic,"A highly contagious viral disease causing fever, cough, and a characteristic rash.","Fever, cough, runny nose, inflamed eyes, red rash","Infection with measles virus, spread by respiratory droplets.","Supportive care, vitamin A supplementation",Mycobacterium tuberculosis,Polio
547,Influenza,Metabolic,A disease affecting humans. Further research may be required for specific details about Influenza.,"now, report, task, its, here","Varies: may include infections, genetics, environment, or lifestyle factors. Further research may be required for specific details about Influenza.","Supportive care, consult a healthcare professional",Corynebacterium diphtheriae,Epstein-Barr
548,Meningitis,Viral,"An inflammation of the membranes (meninges) surrounding the brain and spinal cord, caused by infection.","Sudden high fever, stiff neck, headache, nausea, sensitivity to light","Infection of the meninges by bacteria, viruses, fungi, or parasites.","Antibiotics (if bacterial), antiviral or antifungal medications, corticosteroids",Clostridium tetani,Measles
549,Meningitis,Bacterial,"An inflammation of the membranes (meninges) surrounding the brain and spinal cord, caused by infection.","Sudden high fever, stiff neck, headache, nausea, sensitivity to light","Infection of the meninges by bacteria, viruses, fungi, or parasites.","Antibiotics (if bacterial), antiviral or antifungal medications, corticosteroids",Vibrio cholerae,Zika
550,Hypertension,Metabolic,A chronic condition characterized by elevated blood pressure levels.,"Often asymptomatic, but may cause headaches, shortness of breath, nosebleeds","Combination of genetic, environmental, and lifestyle factors, including high salt intake, obesity, and stress.","Lifestyle modification, antihypertensive medications",Enterococcus faecalis,Norovirus
551,Tuberculosis,Viral,"A potentially serious infectious disease that mainly affects the lungs, caused by Mycobacterium tuberculosis.","Cough (sometimes blood-tinged), weight loss, night sweats, fever","Infection by Mycobacterium tuberculosis, transmitted via airborne droplets from coughs or sneezes.","Antibiotic therapy (isoniazid, rifampin, ethambutol, pyrazinamide)",Vibrio cholerae,Epstein-Barr
552,Polio,Viral,A viral disease that can affect nerves and can lead to partial or full paralysis.,"Fever, sore throat, headache, vomiting, back pain, neck stiffness, paralysis","Infection with poliovirus, spread by fecal-oral route.","Supportive care, physical therapy, ventilatory support if needed",Salmonella enterica,Rabies
553,Zika,Viral,"A disease caused by Zika virus, spread mainly by mosquitoes, associated with birth defects when contracted during pregnancy.","Fever, rash, joint pain, red eyes, muscle pain","Infection with Zika virus, transmitted by Aedes mosquitoes or sexual contact.","Supportive care, rest, fluids, pain relievers",Yersinia pestis,Zika
554,Chickenpox,Genetic,"A highly contagious viral infection causing an itchy, blister-like rash.","Itchy, blister-like rash, fever, tiredness, loss of appetite","Infection with varicella-zoster virus, spread by respiratory droplets or contact with lesions.","Antihistamines, calamine lotion, antiviral drugs (acyclovir) in severe cases",Yersinia pestis,Zika
555,Diabetes Mellitus,Metabolic,A group of metabolic diseases characterized by high blood sugar levels over a prolonged period.,"Increased thirst, frequent urination, hunger, fatigue, blurred vision","Insufficient insulin production or insulin resistance, influenced by genetics, lifestyle, and obesity.","Insulin therapy, oral hypoglycemic agents, diet, exercise",Clostridium tetani,Marburg
556,Zika,Viral,"A disease caused by Zika virus, spread mainly by mosquitoes, associated with birth defects when contracted during pregnancy.","Fever, rash, joint pain, red eyes, muscle pain","Infection with Zika virus, transmitted by Aedes mosquitoes or sexual contact.","Supportive care, rest, fluids, pain relievers",Corynebacterium diphtheriae,Cytomegalovirus
557,HIV/AIDS,Parasitic,A virus that attacks the immune system and can lead to acquired immunodeficiency syndrome (AIDS).,"Fever, fatigue, swollen lymph nodes, weight loss, recurrent infections","Infection with the human immunodeficiency virus (HIV), spread through blood, sexual contact, or from mother to child.",Antiretroviral therapy (ART),Listeria monocytogenes,Hepatitis B
558,Malaria,Metabolic,"A mosquito-borne infectious disease caused by Plasmodium parasites, leading to fever, chills, and flu-like illness.","Fever, chills, headache, nausea, vomiting, muscle pain","Infection by Plasmodium parasites, transmitted by the bite of infected Anopheles mosquitoes.","Antimalarial drugs (artemisinin-based combination therapies, chloroquine)",Enterococcus faecalis,Zika
559,Hepatitis B,Viral,A viral infection that attacks the liver and can cause both acute and chronic disease.,"Jaundice, fatigue, abdominal pain, loss of appetite, nausea","Infection with hepatitis B virus, transmitted through blood, sexual contact, or from mother to child.","Antiviral medications (tenofovir, entecavir), supportive care",Shigella dysenteriae,Mumps
560,Hepatitis B,Genetic,A viral infection that attacks the liver and can cause both acute and chronic disease.,"Jaundice, fatigue, abdominal pain, loss of appetite, nausea","Infection with hepatitis B virus, transmitted through blood, sexual contact, or from mother to child.","Antiviral medications (tenofovir, entecavir), supportive care",Clostridium tetani,Rabies
561,Hypertension,Parasitic,A chronic condition characterized by elevated blood pressure levels.,"Often asymptomatic, but may cause headaches, shortness of breath, nosebleeds","Combination of genetic, environmental, and lifestyle factors, including high salt intake, obesity, and stress.","Lifestyle modification, antihypertensive medications",Borrelia burgdorferi,Epstein-Barr
562,Chickenpox,Viral,"A highly contagious viral infection causing an itchy, blister-like rash.","Itchy, blister-like rash, fever, tiredness, loss of appetite","Infection with varicella-zoster virus, spread by respiratory droplets or contact with lesions.","Antihistamines, calamine lotion, antiviral drugs (acyclovir) in severe cases",Salmonella enterica,Rabies
563,Dengue,Genetic,"A mosquito-borne viral infection causing high fever, rash, and muscle and joint pain.","High fever, headache, pain behind the eyes, joint and muscle pain, rash","Infection with dengue virus, transmitted by Aedes mosquitoes.","Supportive care, fluid replacement, pain relievers (acetaminophen)",Helicobacter pylori,Ebola
564,Ebola,Bacterial,"A severe, often fatal illness in humans caused by the Ebola virus.","Fever, severe headache, muscle pain, vomiting, diarrhea, bleeding","Infection with Ebola virus, transmitted by contact with bodily fluids of infected persons or animals.","Supportive care, intravenous fluids, experimental antiviral drugs",Salmonella enterica,Norovirus
565,Hepatitis B,Metabolic,A viral infection that attacks the liver and can cause both acute and chronic disease.,"Jaundice, fatigue, abdominal pain, loss of appetite, nausea","Infection with hepatitis B virus, transmitted through blood, sexual contact, or from mother to child.","Antiviral medications (tenofovir, entecavir), supportive care",Helicobacter pylori,Polio
566,Chickenpox,Metabolic,"A highly contagious viral infection causing an itchy, blister-like rash.","Itchy, blister-like rash, fever, tiredness, loss of appetite","Infection with varicella-zoster virus, spread by respiratory droplets or contact with lesions.","Antihistamines, calamine lotion, antiviral drugs (acyclovir) in severe cases",Bacillus anthracis,Rabies
567,Chickenpox,Genetic,"A highly contagious viral infection causing an itchy, blister-like rash.","Itchy, blister-like rash, fever, tiredness, loss of appetite","Infection with varicella-zoster virus, spread by respiratory droplets or contact with lesions.","Antihistamines, calamine lotion, antiviral drugs (acyclovir) in severe cases",Neisseria meningitidis,HPV
